Company,ticker,Portfolio percent,Price,Change,Change percentage,Volume,MarketCap,P/ETail,P/Efuture,EarningsPerShare(trailing),EarningsPerShare(future),DividendYield,Dividend
"Rollins, Inc.",ROL,0.03%,   41.88,0.16,(0.37%),"51,030",20.19B,47.26,37.85,0.88,1.10,,
Pentair Plc,PNR,0.03%,   75.06,-0.37,(-0.49%),"38,849",12.47B,20.14,15.99,3.75,4.72,,
"The Interpublic Group of Companies, Inc.",IPG,0.03%,   32.31,-0.09,(-0.29%),"54,466",12.41B,11.36,10.58,2.85,3.06,,
Alliant Energy Corporation,LNT,0.03%,   48.18,-0.22,(-0.45%),"53,616",12.35B,17.71,14.83,2.73,3.26,,
International Paper Co.,IP,0.03%,   35.04,-0.03,(-0.09%),"57,159",12.13B,40.86,12.58,0.86,2.79,,
Gen Digital Inc.,GEN,0.03%,   21.26,-0.13,(-0.59%),"113,296",13.62B,9.86,9.58,2.17,2.23,,
Kimco Realty Corp.,KIM,0.03%,   19.40,-0.37,(-1.87%),"127,488",13.33B,19.55,25.32,1.01,0.78,,
Juniper Networks Inc,JNPR,0.03%,   37.02,0.01,(0.03%),"71,826",11.91B,38.86,15.03,0.95,2.46,,
"Nrg Energy, Inc.",NRG,0.03%,   51.90,-0.12,(-0.23%),"35,657",11.74B,-,8.08,-7.93,6.44,,
Teleflex Incorporated,TFX,0.03%,   254.48,-0.57,(-0.22%),"6,346",11.98B,29.87,18.52,8.54,13.78,,
Mgm Resorts International,MGM,0.03%,   42.65,-0.45,(-1.05%),"85,808",14.72B,13.61,15.48,3.17,2.78,,
Carmax Inc.,KMX,0.03%,   72.38,-1.95,(-2.62%),"53,780",11.74B,23.70,20.74,3.14,3.58,,
Allegion Public Limited Company,ALLE,0.03%,   132.58,-0.73,(-0.55%),"18,035",11.70B,21.13,19.04,6.31,7.00,,
Molson Coors Beverage Company Class B,TAP,0.03%,   61.81,-0.26,(-0.43%),"31,052",13.39B,14.23,10.44,4.36,5.95,,
"Evergy, Inc.",EVRG,0.03%,   49.69,-0.25,(-0.50%),"42,559",11.47B,16.89,13.07,2.96,3.82,,
"Huntington Ingalls Industries, Inc.",HII,0.03%,   284.66,-0.33,(-0.11%),"6,250",11.28B,16.66,14.82,17.10,19.22,,
"Qorvo, Inc.",QRVO,0.03%,   113.54,-0.34,(-0.30%),"15,450",11.00B,-,14.90,-2.16,7.64,,
"Dayforce, Inc.",DAY,0.03%,   73.17,-0.52,(-0.70%),"17,179",11.51B,211.75,36.11,0.35,2.04,,
Bio-Techne Corp.,TECH,0.03%,   70.65,-0.61,(-0.86%),"19,157",11.20B,51.38,34.98,1.39,2.04,,
"F5, Inc.",FFIV,0.03%,   182.96,-0.58,(-0.31%),"9,378",10.79B,23.88,13.24,7.69,13.86,,
Aes Corporation,AES,0.03%,   16.50,-0.28,(-1.66%),"120,979",11.24B,-,8.84,-0.87,1.90,,
Westrock Company,WRK,0.03%,   43.38,0.07,(0.16%),"56,579",11.13B,-,12.53,-6.72,3.46,,
Incyte Genomics Inc,INCY,0.03%,   58.97,-0.00,(-0.00%),"30,577",13.24B,22.30,10.85,2.64,5.44,,
Globe Life Inc.,GL,0.03%,   125.70,-0.11,(-0.09%),"10,884",11.84B,12.48,10.04,10.08,12.53,,
"Udr, Inc.",UDR,0.03%,   35.65,-0.41,(-1.12%),"45,450",11.86B,27.14,71.64,1.33,0.50,,
Brown-Forman Corporation Class B,BF.B,0.02%,   57.76,-0.25,(-0.43%),"28,469",27.59B,35.72,27.36,1.62,2.12,,
"Catalent, Inc.",CTLT,0.02%,   57.82,0.38,(0.66%),"85,692",10.38B,-,37.35,-7.05,1.54,,
Nisource Inc.,NI,0.02%,   25.86,-0.11,(-0.41%),"99,150",11.62B,17.39,15.19,1.49,1.71,,
"Tapestry, Inc.",TPR,0.02%,   45.39,-0.07,(-0.15%),"66,156",10.43B,11.48,9.90,3.96,4.59,,
Wynn Resorts Ltd,WYNN,0.02%,   104.94,-0.79,(-0.74%),"30,069",11.94B,17.71,19.18,5.97,5.51,,
Camden Property Trust,CPT,0.02%,   96.59,-0.78,(-0.80%),"13,799",10.40B,26.37,60.87,3.69,1.60,,
"Bath & Body Works, Inc.",BBWI,0.02%,   45.28,-0.22,(-0.49%),"43,096",10.28B,14.25,13.52,3.19,3.37,,
A.O. Smith Corporation,AOS,0.02%,   80.70,-0.30,(-0.37%),"21,460",12.05B,21.98,18.73,3.69,4.32,,
News Corporation Class A,NWSA,0.02%,   26.51,0.01,(0.05%),"48,030",15.04B,66.78,29.92,0.40,0.89,,
Regency Centers Corporation,REG,0.02%,   60.54,-0.70,(-1.14%),"29,691",11.30B,30.01,27.63,2.04,2.22,,
"Match Group, Inc",MTCH,0.02%,   37.23,-0.42,(-1.11%),"68,809",10.23B,16.56,14.81,2.27,2.54,,
"Universal Health Services, Inc. Class B",UHS,0.02%,   162.38,-0.34,(-0.21%),"7,968",11.29B,17.08,13.74,9.53,11.84,,
Eastman Chemical Company,EMN,0.02%,   85.30,0.05,(0.06%),"19,543",10.11B,11.36,9.56,7.50,8.92,,
American Airlines Group Inc.,AAL,0.02%,   14.73,-0.17,(-1.13%),"447,971",9.74B,13.70,4.60,1.09,3.24,,
The Mosaic Company,MOS,0.02%,   30.24,0.10,(0.32%),"83,518",9.85B,7.73,9.27,3.90,3.25,,
Henry Schein Inc,HSIC,0.02%,   75.40,-0.10,(-0.13%),"17,679",9.81B,22.47,14.75,3.36,5.12,,
"Healthpeak Properties, Inc.",PEAK,0.02%,   17.12,-0.34,(-1.96%),"135,337",9.55B,31.40,31.17,0.56,0.56,,
"Paycom Software, Inc.",PAYC,0.02%,   193.66,-0.72,(-0.37%),"12,530",11.22B,32.97,22.02,5.90,8.83,,
Apa Corporation,APA,0.02%,   31.27,0.02,(0.07%),"86,056",9.47B,6.41,6.18,4.87,5.06,,
"Etsy, Inc.",ETSY,0.02%,   76.64,-1.12,(-1.45%),"45,234",9.31B,32.57,29.07,2.39,2.68,,
"Caesars Entertainment, Inc.",CZR,0.02%,   42.55,-0.61,(-1.40%),"69,001",9.31B,13.08,39.14,3.30,1.10,,
"Assurant, Inc.",AIZ,0.02%,   173.02,0.51,(0.30%),"6,535",9.07B,14.41,10.18,11.97,16.94,,
"Boston Properties, Inc.",BXP,0.02%,   65.25,-1.46,(-2.19%),"27,506",10.47B,55.29,37.06,1.21,1.80,,
"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,   73.51,-0.19,(-0.25%),"21,004",8.60B,27.15,18.13,2.71,4.06,,
Robert Half Inc.,RHI,0.02%,   81.97,-0.28,(-0.34%),"13,927",8.71B,21.25,18.47,3.87,4.45,,
Hormel Foods Corporation,HRL,0.02%,   28.99,-0.12,(-0.42%),"66,883",15.92B,20.14,17.69,1.45,1.65,,
Marketaxess Holdings Inc.,MKTX,0.02%,   221.25,0.75,(0.34%),"7,328",8.36B,32.19,26.67,6.85,8.27,,
Campbell Soup Company,CPB,0.02%,   41.09,-0.19,(-0.45%),"37,651",12.31B,15.58,12.79,2.65,3.23,,
Generac Holdings Inc,GNRC,0.02%,   118.96,-1.72,(-1.42%),"22,050",7.41B,36.66,14.79,3.29,8.16,,
"Franklin Resources, Inc.",BEN,0.02%,   27.15,-0.22,(-0.80%),"70,933",14.41B,14.44,9.47,1.89,2.89,,
Pinnacle West Capital Corporation,PNW,0.02%,   67.67,-0.23,(-0.33%),"17,823",7.70B,16.19,13.99,4.20,4.85,,
Fox Corporation Class A,FOXA,0.02%,   30.54,-0.02,(-0.07%),"39,824",14.85B,18.11,8.21,1.69,3.72,,
Federal Realty Investment Trust,FRT,0.02%,   100.76,-1.45,(-1.42%),"10,140",8.48B,36.51,32.63,2.80,3.13,,
Borgwarner Inc.,BWA,0.02%,   30.97,-0.52,(-1.64%),"106,818",7.24B,11.80,7.07,2.67,4.46,,
Ralph Lauren Corporation,RL,0.02%,   180.44,-0.72,(-0.40%),"15,049",11.58B,20.56,16.19,8.81,11.19,,
Dentsply Sirona Inc.,XRAY,0.02%,   33.64,-0.22,(-0.66%),"35,583",7.17B,-,16.63,-1.01,2.04,,
Invesco Ltd,IVZ,0.02%,   15.55,-0.14,(-0.88%),"113,524",7.05B,-,8.31,-0.75,1.89,,
Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,   16.30,-0.21,(-1.26%),"391,954",7.02B,-,13.63,-0.66,1.21,,
"Bio-Rad Laboratories, Inc.Class A",BIO,0.02%,   352.43,23.70,(7.21%),"2,357",9.58B,-,24.97,-5.85,13.16,,
"Hasbro, Inc.",HAS,0.02%,   50.59,-0.46,(-0.90%),"36,959",7.08B,-,13.09,-10.72,3.90,,
Davita Inc.,DVA,0.02%,   119.52,-0.36,(-0.30%),"26,576",10.94B,16.18,11.64,7.41,10.30,,
Comerica Incorporated,CMA,0.02%,   50.77,-0.62,(-1.21%),"34,232",6.78B,7.96,8.28,6.46,6.21,,
Fmc Corporation,FMC,0.02%,   51.61,-0.14,(-0.26%),"47,959",6.46B,4.91,10.25,10.53,5.05,,
Paramount Global Class B,PARA,0.02%,   12.35,-0.24,(-1.93%),"449,486",8.20B,-,12.11,-1.78,1.04,,
Zions Bancorporation N.a.,ZION,0.01%,   40.92,-0.60,(-1.45%),"65,512",6.15B,9.53,8.97,4.36,4.63,,
"Mohawk Industries, Inc.",MHK,0.01%,   114.75,-1.70,(-1.46%),"9,589",7.42B,-,10.42,-6.92,11.17,,
Whirlpool Corp.,WHR,0.01%,   108.39,-1.41,(-1.29%),"20,361",6.02B,12.67,7.43,8.67,14.78,,
V.F. Corporation,VFC,0.01%,   16.60,-0.45,(-2.65%),"172,928",6.63B,-,12.61,-1.97,1.35,,
Fox Corporation Class B,FOX,0.01%,   28.10,-0.04,(-0.15%),"21,733",13.67B,16.68,7.51,1.69,3.75,,
News Corporation Class B,NWS,0.01%,   27.62,-0.05,(-0.18%),"19,516",15.70B,69.73,31.24,0.40,0.89,,
S&P 500 ETF,   501.81 ,-0.20,(-0.04%),,,,,,,,,,
Nasdaq 100 ETF,   434.71 ,0.20,(0.05%),,,,,,,,,,
Dow Jones ETF,   387.18 ,-1.07,(-0.27%),,,,,,,,,,
Nasdaq Comp ETF,   62.68 ,-0.06,(-0.09%),,,,,,,,,,
