Company,ticker,Portfolio percent,Price,Change,Change percentage,Volume,MarketCap,P/ETail,P/Efuture,EarningsPerShare(trailing),EarningsPerShare(future),DividendYield,Dividend
"Digital Realty Trust, Inc.",DLR,0.10%,   139.18,-9.44,(-6.35%),"35,129",45.01B,51.94,106.15,2.86,1.40,,
Copart Inc,CPRT,0.10%,   49.66,-0.07,(-0.13%),"153,907",47.75B,36.37,30.21,1.37,1.65,,
Realty Income Corporation,O,0.10%,   51.44,-0.58,(-1.12%),"103,580",37.66B,39.51,36.93,1.32,1.41,,
"Metlife, Inc.",MET,0.10%,   69.29,-0.25,(-0.36%),128,50.82B,38.01,6.98,1.83,9.96,,
The Allstate Corporation,ALL,0.10%,   162.09,0.20,(0.12%),234,42.42B,-,10.12,-1.19,16.00,,
Aflac Inc.,AFL,0.10%,   79.90,-0.27,(-0.33%),836,46.85B,10.35,11.63,7.75,6.90,,
Bank of New York Mellon Corporation,BK,0.10%,   55.14,-0.15,(-0.27%),491,42.52B,13.90,9.59,3.98,5.77,,
"W.W. Grainger, Inc.",GWW,0.10%,   948.28,4.59,(0.49%),4,46.84B,25.93,22.00,36.40,42.89,,
"American Electric Power Company, Inc.",AEP,0.10%,   81.00,-0.36,(-0.45%),"2,470",42.79B,18.70,14.52,4.35,5.60,,
Centene Corporation,CNC,0.10%,   78.40,0.10,(0.13%),2,41.83B,15.95,10.30,4.91,7.60,,
Monster Beverage Corporation,MNST,0.10%,   55.92,-0.26,(-0.45%),"206,814",58.44B,38.01,30.85,1.48,1.82,,
Constellation Energy Corporation,CEG,0.10%,   131.05,-0.45,(-0.34%),415,41.95B,25.18,20.02,5.22,6.57,,
"Oneok, Inc.",OKE,0.10%,   71.13,0.07,(0.10%),"2,925",41.40B,13.05,14.26,5.45,4.98,,
Williams Companies Inc.,WMB,0.10%,   34.31,0.12,(0.36%),"1,177",41.59B,13.12,16.25,2.61,2.10,,
Fastenal Co,FAST,0.10%,   70.21,0.06,(0.09%),"86,601",40.14B,34.80,30.03,2.02,2.34,,
Kimberly-Clark Corp.,KMB,0.10%,   118.99,0.20,(0.17%),56,40.02B,22.82,16.22,5.21,7.32,,
"Ametek, Inc.",AME,0.10%,   173.62,-0.12,(-0.07%),394,40.10B,30.63,23.14,5.67,7.51,,
Sysco Corporation,SYY,0.09%,   79.25,-0.13,(-0.16%),263,39.52B,19.37,16.81,4.10,4.72,,
"L3harris Technologies, Inc.",LHX,0.09%,   211.39,0.11,(0.05%),174,40.05B,32.79,15.07,6.44,14.02,,
"Ameriprise Financial, Inc.",AMP,0.09%,   397.53,-0.30,(-0.08%),11,40.26B,16.78,10.75,23.71,37.01,,
Hess Corporation,HES,0.09%,   148.70,0.71,(0.48%),140,45.46B,32.94,14.66,4.49,10.10,,
"Constellation Brands, Inc.",STZ,0.09%,   243.85,-1.05,(-0.43%),41,44.77B,28.96,18.21,8.46,13.45,,
Paychex Inc,PAYX,0.09%,   122.43,-0.36,(-0.29%),"47,019",44.18B,27.30,24.46,4.50,5.02,,
Johnson Controls International Plc,JCI,0.09%,   57.23,-0.17,(-0.30%),273,39.12B,18.68,13.89,3.07,4.13,,
Agilent Technologies Inc.,A,0.09%,   133.84,-0.92,(-0.68%),18,39.48B,32.09,22.27,4.20,6.05,,
"Cencora, Inc.",COR,0.09%,   233.51,0.43,(0.18%),664,46.49B,25.38,15.94,9.18,14.63,,
Old Dominion Freight Line,ODFL,0.09%,   430.11,-2.22,(-0.51%),"13,283",47.17B,38.40,28.88,11.26,14.97,,
Lennar Corporation Class A,LEN,0.09%,   152.12,-2.08,(-1.35%),"3,302",43.30B,11.21,9.65,13.76,15.99,,
